Solar_Power,rso,precip,rh_max,td_avg,airt_max,windd_avg,winds_max
27524,2.954,0,46,51.8,77.7,250,5.369
34853,3.047,0,46,52.7,83.8,292,10.737
51862,2.939,0,33,49.5,86,294,14.54
44181,2.65,0,28,48.2,87.3,295,11.856
38415,2.168,0,28,47.7,86.7,294,11.856
27331,1.54,0,26,46.2,86.9,296,9.619
14499,0.837,0,32,46.2,86.7,320,7.829
4313,0.176,0,34,47.5,84.9,76,6.711
25250,2.594,0,46,52.3,80.2,355,6.487
42848,2.903,0,41,52.5,84.6,5,6.263
42914,3.014,0,35,51.8,87.8,300,6.487
22468,2.915,0,32,50.7,88.9,284,10.514
40150,2.612,0,32,50,89.6,279,7.606
35070,2.123,0,26,48.2,89.8,48,8.948
26331,1.499,0,28,48.2,89.8,0,6.04
14487,0.794,0,34,49.5,88.9,15,5.816
5167,0.148,0,54,51.1,86.4,247,3.579
4144,0.129,0,60,53.1,69.3,48,11.856
9985,0.753,0,60,53.2,70.3,75,11.408
13158,1.45,0,56,52.9,72.9,232,9.395
22395,2.079,0,56,55.6,75.2,315,8.948
28261,2.559,0,52,55.4,77.2,6,5.816
18616,2.873,0,51,54.7,77,321,13.422
17768,2.984,0,59,56.5,76.5,1,14.764
20373,2.869,0,65,57,73,50,14.987
45557,2.557,0,65,55.4,74.8,24,15.882
37527,2.08,0,56,55.2,73.9,351,8.5
26517,1.457,0,53,55,74.5,353,8.5
9190,0.762,0,56,54,74.3,336,6.935
3551,0.135,0,61,54.7,70.9,240,2.908
3597,0.123,0,69,45.9,57.6,44,14.764
13124,0.753,0,75,47.7,59.2,143,7.829
25966,1.455,0,74,51.1,64.2,204,4.698
36581,2.075,0,65,52.3,68.2,349,5.816
43947,2.563,0,63,54,71.8,15,7.382
38682,2.591,0,34,45.9,80.4,181,7.158
20530,2.101,0,36,44.6,80.2,235,6.04
17817,1.467,0,33,44.1,79,255,3.579
9798,0.758,0,40,47.5,77.9,289,4.25
3594,0.123,0,41,45.9,75.4,239,3.132
3750,0.116,0,67,47.5,64.9,17,19.909
4981,0.738,0.012,77,50.4,63,344,10.514
4090,1.434,0.189,89,53.4,59.9,98,11.856
7626,2.05,0,86,52.9,62.6,40,15.659
11688,2.542,0,86,52.5,62.8,46,14.093
28583,2.854,0,69,52.3,68.2,216,10.066
57129,2.965,0,70,54.9,71.1,326,7.382
14538,2.849,0.039,76,55,72.3,22,9.843
27982,2.533,0.185,85,55,67.5,60,11.185
23450,2.039,0,74,55.8,68.9,264,4.026
19451,1.414,0.11,82,55.2,68.9,299,23.488
6004,0.72,0.177,91,50.9,58.6,47,18.79
4827,0.112,0,91,51.4,58.3,223,4.474
3647,0.11,0,76,41.5,50.5,39,15.882
13042,0.735,0,75,42.1,52.3,89,14.987
26440,1.445,0,77,44.2,56.7,53,12.079
36166,2.076,0,64,46.6,62.8,82,9.843
42187,2.563,0,63,48.4,65.8,335,6.04
51275,2.869,0,48,41.4,68.4,13,7.606
52973,3.008,0,45,42.4,70.3,247,6.711
35575,2.576,0,35,39.4,72.3,302,13.869
37154,2.083,0,34,38.7,72.3,290,9.171
24101,1.442,0,33,38.7,73.2,303,8.277
10246,0.725,0,41,39.6,71.4,227,3.803
4252,0.102,0,40,39.4,68.5,32,6.487
3683,0.104,0,67,41.2,54,277,5.145
12126,0.723,0,66,41.2,55.6,306,4.474
25355,1.434,0,60,41.5,60.1,30,6.263
36724,2.072,0,55,43,63.1,6,6.487
24074,2.565,0,52,43.3,65.5,50,8.5
9669,2.877,0.016,69,46.2,63.7,23,6.04
7725,2.963,0,70,48.2,61.9,78,8.053
3503,2.84,0.098,81,48.9,59.5,67,10.514
11839,2.52,0.016,82,50,60.1,48,10.29
19391,2.018,0,78,49.6,61.9,29,15.435
25449,1.388,0.004,63,48.6,65.7,37,15.882
12630,0.689,0,59,46.4,67.3,10,12.079
5636,0.09200001,0,65,49.5,64.4,47,14.764
42255,2.043,0,75,45.3,56.5,11,5.816
44959,2.526,0,70,46.8,62.2,14,6.711
52393,2.947,0,48,42.4,66,343,7.829
42986,2.839,0,50,42.3,67.5,357,12.079
43884,2.515,0,42,40.6,69.1,52,8.277
37191,2.017,0,41,40.3,68.7,319,6.04
25388,1.373,0,36,39.4,68.9,21,5.145
12747,0.661,0,41,39,67.8,258,6.711
3529,0.075,0,45,39.4,65.5,193,3.132
3530,0.087,0,61,34.3,48.4,109,19.461
12971,0.6950001,0,60,34.5,52,162,12.303
27215,1.411,0,52,34.7,57.4,44,17.001
38698,2.052,0,60,41,61.5,300,9.619
44770,2.528,0,55,44.2,64.6,348,6.263
43600,2.502,0,33,39.6,74.8,287,6.04
34210,1.999,0,32,38.3,74.8,297,6.711
23620,1.356,0,33,38.7,75,285,6.04
11985,0.64,0,33,38.3,73.4,298,4.474
3496,0.068,0,38,39.4,70.7,298,4.698
3541,0.082,0,54,33.3,54.5,67,14.316
13016,0.684,0,50,33.6,57.7,45,19.685
26954,1.399,0,55,38.7,60.3,198,9.395
38718,2.025,0,54,43,63.9,354,6.711
44643,2.505,0,51,43.9,68.2,36,6.711
43318,2.491,0,26,37,81.5,252,6.263
36071,1.986,0,24,34.9,81.5,299,8.5
